date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_uap,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp
21-May-22,2022-05-21,2022-05-21,Election,Election,0,0.357,0.326,0.122,0.05,0.041,0.104,0,0.479,0.521
23 May–5 Jun 2022,2022-05-23,2022-06-05,ANU,CATI/online,3556,0.319,0.354,0.198,0,0,0.129,0,0,0
21–25 May 2022,2022-05-21,2022-05-25,Dynata (Exit Poll),Online,1424,0.33,0.41,0.11,0.04,0,0.11,0,0,0
13–19 May 2022,2022-05-13,2022-05-19,Newspoll-YouGov,Online,2188,0.35,0.36,0.12,0.05,0.03,0.09,0,0.47,0.53
15–18 May 2022,2022-05-15,2022-05-18,Ipsos,Telephone/online,1996,0.35,0.36,0.13,0.05,0.03,0.08,0,0.47,0.53
12–17 May 2022,2022-05-12,2022-05-17,Resolve Strategic,Telephone/online,2049,0.344,0.313,0.135,0.058,0.044,0.105,0,0.488,0.512
14–16 May 2022,2022-05-14,2022-05-16,Essential,Online,1600,0.36,0.35,0.09,0.04,0.03,0.06,0.07,0.46,0.48
9–15 May 2022,2022-05-09,2022-05-15,Roy Morgan,Telephone/online,1366,0.34,0.34,0.13,0.04,0.01,0.14,0,0.47,0.53
10–13 May 2022,2022-05-10,2022-05-13,Newspoll-YouGov,Online,1532,0.35,0.38,0.11,0.06,0.03,0.07,0,0.46,0.54
2–8 May 2022,2022-05-02,2022-05-08,Roy Morgan,Telephone/online,1401,0.34,0.355,0.13,0.04,0.01,0.125,0,0.455,0.545
4–7 May 2022,2022-05-04,2022-05-07,Newspoll-YouGov,Online,1523,0.35,0.39,0.11,0.05,0.04,0.06,0,0.46,0.54
4–7 May 2022,2022-05-04,2022-05-07,Ipsos,Telephone/online,2311,0.29,0.35,0.12,0.04,0.03,0.1,0.07,0.43,0.57
25 Apr–1 May 2022,2022-04-25,2022-05-01,Roy Morgan,Telephone/online,1487,0.35,0.35,0.13,0.03,0.01,0.13,0,0.445,0.555
27–30 Apr 2022,2022-04-27,2022-04-30,Essential,Online,1500,0.36,0.35,0.1,0.03,0.04,0.05,0.06,0.45,0.49
27–30 Apr 2022,2022-04-27,2022-04-30,Newspoll-YouGov,Online,1538,0.36,0.38,0.11,0.05,0.04,0.06,0,0.47,0.53
