date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_top,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp,primary_vote_uap
28–30 Mar 2025,2025-03-28,2025-03-30,Freshwater Strategy,Online,1059,0.39,0.32,0.12,0,0,0.17,0,0.49,0.51,
26–30 Mar 2025,2025-03-26,2025-03-30,Resolve Strategic,Online,3237,0.37,0.29,0.13,0.07,0,0.14,0,0.5,0.5,
27–29 Mar 2025,2025-03-27,2025-03-29,Newspoll,Online,1249,0.37,0.33,0.12,0.06,0,0.12,0,0.51,0.49,
27 Feb – 26 Mar 2025,2025-02-27,2025-03-26,YouGov MRP,Online,10217,0.355,0.298,0.132,0.093,0,0.122,0,0.502,0.498,
13–24 Mar 2025,2025-03-13,2025-03-24,Redbridge/Accent,Online,2039,0.38,0.34,0.11,0,0,0.17,0,0.51,0.49,
17–23 Mar 2025,2025-03-17,2025-03-23,Roy Morgan,Online,1683,0.355,0.335,0.125,0.04,0,0.145,0,0.53,0.47,
14–19 Mar 2025,2025-03-14,2025-03-19,YouGov,Online,1500,0.37,0.31,0.13,0.07,0.01,0.11,0,0.5,0.5,
12–16 Mar 2025,2025-03-12,2025-03-16,Essential,Online,2256,0.35,0.29,0.12,0.08,0.01,0.09,0.06,0.47,0.47,
10–16 Mar 2025,2025-03-10,2025-03-16,Roy Morgan,Online,2097,0.34,0.325,0.135,0.05,0,0.15,0,0.545,0.455,
13–15 Mar 2025,2025-03-13,2025-03-15,Freshwater Strategy,Online,1051,0.39,0.31,0.14,0,0,0.16,0,0.49,0.51,
7–13 Mar 2025,2025-03-07,2025-03-13,YouGov,Online,1526,0.36,0.31,0.135,0.075,0.01,0.11,0,0.51,0.49,
3–11 Mar 2025,2025-03-03,2025-03-11,Redbridge/Accent,Online,2007,0.37,0.32,0.12,0,0,0.19,0,0.51,0.49,
3–9 Mar 2025,2025-03-03,2025-03-09,Roy Morgan,Online,1719,0.37,0.3,0.135,0.05,0,0.145,0,0.515,0.485,
3–7 Mar 2025,2025-03-03,2025-03-07,Newspoll,Online,1255,0.39,0.32,0.12,0.07,0,0.1,0,0.49,0.51,
28 Feb – 6 Mar 2025,2025-02-28,2025-03-06,YouGov,Online,1504,0.36,0.31,0.13,0.07,0.01,0.12,0,0.51,0.49,
